id,title,description,price,purchases,desc_length
62399,Mint chutney,Yoghurtdressing lavet af mint og grøn chili,10.0,0.0,43
62400,Tamarind chutney,Hjemmelavet sursød chutney,19.0,0.0,26
62401,Indian salad,"Tomater, rødløg, agurk, ingefær, chili og citron i snitter",40.0,0.0,58
62403,Børnemenu fisk,"Fiskefilet med pommes frites, salat og remoulade",85.0,0.0,48
62404,Børnemenu kylling,"Kyllinge nuggets med pommes frites, salat og ketchup",69.0,0.0,52
62405,Børne chicken creamy,"Kyllingekød i mild creamy sauce med ris, 1/4 naan og salat",79.0,0.0,58
62406,Børne butter chicken,"Kyllingekød i tomater og flødesauce med ris, 1/4 naan og salat",89.0,0.0,62
62409,Gulab jamun (2 stk.),Med blandingskugler stegt i olive og sukkersirup,45.0,0.0,48
62410,Kheer,Risengrød med specielle krydderier,45.0,0.0,34
62411,Halwa,Kogt samolin i smør og sukkersirup,45.0,0.0,34
62412,Gajar halwa,"Halwa af gulerødder, mælk og mandler",45.0,0.0,36
62413,Kulfi falooda,"Hjemmelavet is af kogt mælk, serveret med sirup i toppen",45.0,0.0,56
62415,Mix grill,"Tandoori kylling, chicken tikka og stegte kinarejer tilsat speciel tandoori krydderiblanding og stegt på grill",159.0,0.0,110
62416,Lamb tikka,Lammekød marineret i yoghurt tilsat speciel tandoori krydderiblanding og stegt på grill,159.0,0.0,87
62417,Tandoori king prawns,"Kinarejer marineret i tandoori masala, stegt på grill",170.0,0.0,53
62419,Egg ramyun,Special koreansk nudler med æg,79.0,0.0,30
62420,Kimchi ramyun,Koreanske nudler med krydret kinakål,89.0,0.0,36
62421,Hot ramyun,"Kylling smag stærke nodler med løg, gulerødder og peberfrugter",99.0,0.0,62
62422,Fried chowmin (vegetable),Special nepalesisk nudler med grøntsager,79.0,0.0,40
62423,Fried chowmin (kylling),Special nepalesisk nudler med kyllingestykker og grøntsager,89.0,0.0,59
62424,Fried chowmin (okse),Special nepalesisk nudler med oksekød og grøntsager,99.0,0.0,51
62426,Crispy fried chicken wings (6 stk.),Friturestegte panerede kyllinge wings med special sur-sød sauce,69.0,0.0,63
62427,Khangjung (6 stk.),Friturestegte kyllingestykker uden ben med sur-sød sauce,79.0,0.0,56
62428,Chicken mo:mo (8 stk.),"Dumplings med krydret hakket kylling, serveres med tomat chutney",65.0,0.0,64
62429,Okse mo:mo,"Dumplings med krydret hakket oksekød, serveres med tomat chutney",75.0,0.0,64
62430,Fried chicken mo:mo,"Stegte kyllinge dumplings, serveres med tomat chutney",69.0,0.0,53
62431,Fried okse mo:mo,"Stegte okse dumplings, serveres med tomat chutney",79.0,0.0,49
62432,Chicken chilli,"Stegte kyllingestykker med krydderier, peberfrugter og løg",69.0,0.0,58
62434,Om rice (V),"Stegte jasminris med specielle koreanske krydderier og grøntsager, serveres med æg på",109.0,0.0,85
62435,Om rice (Chicken/Beef/Seafood),"Stegte jasminris med specielle koreanske krydderier, grøntsager, kyllinge- eller oksestykker, serveres med æg på",119.0,0.0,112
62440,Cheese donkass,"Stegte tynde skiver oksekød med ost, serveres med jasmin ris, speciel koreansk sauce og salat",179.0,0.0,93
