item_id,item_name,profit,profit_share
65374,Vanilla,0.0,0.0
65375,Strawberry,0.0,0.0
65376,Chocolate,0.0,0.0
65377,Oreo,0.0,0.0
65378,Kinder Bueno,0.0,0.0
65379,Topix,0.0,0.0
65380,Knopper,0.0,0.0
65381,Bueno,0.0,0.0
65382,Peach,0.0,0.0
65383,Mango,0.0,0.0
65384,Mars,0.0,0.0
65385,Lemon,0.0,0.0
65386,Avocado,0.0,0.0
65387,Melon,0.0,0.0
65388,Watermelon,0.0,0.0
65390,Fruit Salad,0.0,0.0
65391,Nutella Fruit Salad,0.0,0.0
65392,Crunchy Fruit Salad,0.0,0.0
65393,Mix Fruit Salad,0.0,0.0
65432,Sashimi salmon,0.0,0.0
65433,Sashimi laks / Sashimi salmon,0.0,0.0
65437,Sashimi laksecarpaccio,0.0,0.0
65438,Sashimi mix 18 stk,195.0,2.839343113015495e-07
65455,Tofu,198.0,2.8830253147541945e-07
65456,Avocado,176.0,2.5626891686703954e-07
65457,Gunkan,0.0,0.0
65465,Ricepaper Tofu (6 pcs),240.0,3.494576139095994e-07
65466,Ricepaper Asparagus (6 pcs),180.0,2.620932104321995e-07
65470,Hosomaki Shrimp,190.0,2.766539443450995e-07
65471,Hosomaki Cucumber,245.0,3.5673798086604935e-07
65473,Hosomaki Mango,245.0,3.5673798086604935e-07
65481,Vegi Roll,425.0,6.188311912982488e-07
65491,Tun tataki,0.0,0.0
65492,Summer,360.0,5.24186420864399e-07
65495,Hana Roll,500.0,7.280366956449986e-07
65498,California,440.0,6.406722921675988e-07
65502,Salmon,130.0,1.8928954086769965e-07
65511,Tuna,260.0,3.785790817353993e-07
65512,Shrimp,65.0,9.464477043384982e-08
65514,Tempura Chicken,130.0,1.8928954086769965e-07
65515,Softshell Krabbe,75.0,1.092055043467498e-07
65520,Dynamite Tuna,150.0,2.184110086934996e-07
65522,Asparges,65.0,9.464477043384982e-08
65523,Vegetar,110.0,1.601680730418997e-07
65525,Salat med crispy ebi,0.0,0.0
65526,Salat med crispy kylling,0.0,0.0
65527,Salat med krebsehaler,0.0,0.0
65528,Salat med laks,0.0,0.0
65529,Salat med asparges,0.0,0.0
65538,Asparges,0.0,0.0
65539,Gedeost,0.0,0.0
65540,Tigerrejer,0.0,0.0
65542,Ris,0.0,0.0
65549,Menu 1 (10stk),0.0,0.0
65550,Menu 2 (14 stk),0.0,0.0
65551,Menu 3 (17stk),0.0,0.0
65552,Menu 4 (14 stk),0.0,0.0
65553,Menu 5 (16 stk),0.0,0.0
65554,Menu A (24 stk),0.0,0.0
65555,Menu B (30 stk),0.0,0.0
65556,Menu C (32 stk),0.0,0.0
65557,Menu D (36 stk),0.0,0.0
65558,Menu E (32stk),0.0,0.0
65559,Menu F (34stk),0.0,0.0
65560,Fest 1 (52stk),0.0,0.0
65561,Fest 2 (52 stk),0.0,0.0
65562,Fest 3 (70stk),0.0,0.0
65564,Mix 1 (14stk),0.0,0.0
65565,Mix 2 (34stk),0.0,0.0
65567,Børn Menu 1,0.0,0.0
65568,Børn Menu 2,0.0,0.0
65569,Vegi 1 (18stk),0.0,0.0
65570,Vegi 2 (20stk),0.0,0.0
65571,Flaming seafood,0.0,0.0
65572,Flaming meat,0.0,0.0
65600,Take away bag,4.0,5.8242935651599896e-09
65706,Tibsi Begie,0.0,0.0
65707,Beef tibsi,109.0,1.587119996506097e-07
65708,Keyh Tsebhi 🌶,0.0,0.0
65709,Tsebhi Dorho 🌶,420.0,6.115508243417989e-07
65710,Alicha Tsebhi Dorho,210.0,3.0577541217089944e-07
65711,Meat lovers 🌶,0.0,0.0
65712,Minchet,0.0,0.0
65713,Hidmona special,240.0,3.494576139095994e-07
65714,Hamli bsiga,0.0,0.0
65715,Nay tsom beyaynetu (V),109.0,1.587119996506097e-07
65716,Injera Fit Fit (V),0.0,0.0
65717,Asa (V),0.0,0.0
65718,Lentils (V),0.0,0.0
65719,Shiro Tsahli (V),0.0,0.0
65720,Injera,0.0,0.0
65721,0.25L,120.0,1.747288069547997e-07
65727,"Tuborg Classic 4,6% 0,33 l",35.0,5.096256869514991e-08
65728,"Tuborg 4,6% 0,33 l",0.0,0.0
65729,St George beer 4.7% 0.33l,105.0,1.5288770608544972e-07
65748,Crispy Chick,138.0,2.0093812799801962e-07
65753,Plain Chick,276.0,4.0187625599603924e-07
65754,Main Chick,0.0,0.0
65755,Cravin' Chick,0.0,0.0
65756,Crazy Chick (chicken + beef),0.0,0.0
65758,Basic Chick,0.0,0.0
65759,Single Chick,0.0,0.0
65760,Hot Chick,0.0,0.0
65761,Savage Chick,0.0,0.0
65762,Nasty Chick,170.0,2.4753247651929957e-07
65764,Chicks in a Bucket,0.0,0.0
65765,Burger Chick menu,278.0,4.0478840277861925e-07
65766,All Of Me Chick,149.0,2.169549353022096e-07
65767,Half of Me Chick,0.0,0.0
65768,By Myself Chick,0.0,0.0
65769,Flying Chick Nr 1,0.0,0.0
65770,Flying Chick nr 2,0.0,0.0
65771,Run Away Chick nr 1,0.0,0.0
65772,Run Away Chick Nr. 2,0.0,0.0
65774,Dips,0.0,0.0
65775,Hot Wings,0.0,0.0
65776,Crispy Kylling,0.0,0.0
65777,Nuggets,0.0,0.0
65778,Coleslaw,0.0,0.0
65779,Pomfritter,0.0,0.0
65780,Sweet Potatoe Fries,0.0,0.0
65781,Potatoe Crispers,0.0,0.0
65795,Nutella Chick,0.0,0.0
65796,Lotus Chick,0.0,0.0
65797,Lotus Shake,0.0,0.0
65798,Jordbær/banan shake,0.0,0.0
65799,33cl Dåse,15.0,2.184110086934996e-08
65800,50cl. Kildevand,0.0,0.0
66595,5 Course Menu,0.0,0.0
66633,Espresso,138.0,2.0093812799801962e-07
66634,Cortado,120.0,1.747288069547997e-07
66636,Iskaffe,400.0,5.824293565159989e-07
66641,Snickers Cake,105.0,1.5288770608544972e-07
66642,Squashkage,210.0,3.0577541217089944e-07
66643,Chokomousse,78.0,1.1357372452061979e-07
66645,Cappuccino,300.0,4.368220173869992e-07
