id,place_id,created,title,type,multiple_selections,minimum_selections,maximum_selections,index,created_datetime
923314,923303,1705426435,Size,Optional,0,1,1,0,2024-01-16T19:33:55
923315,923303,1705426435,Drink,Optional,0,1,1,1,2024-01-16T19:33:55
923316,923303,1705426435,Flavor,Optional,0,1,1,2,2024-01-16T19:33:55
937147,894372,1705506826,Size 1,Optional,0,1,1,0,2024-01-17T17:53:46
937148,894372,1705506826,Size 2,Optional,0,1,1,1,2024-01-17T17:53:46
937149,894372,1705506826,Size 3,Optional,0,1,1,2,2024-01-17T17:53:46
937150,894372,1705506826,Size 4,Optional,0,1,1,3,2024-01-17T17:53:46
937151,894372,1705506826,Size 5,Optional,0,1,1,4,2024-01-17T17:53:46
937152,894372,1705506826,Size 6,Optional,0,1,1,5,2024-01-17T17:53:46
937153,894372,1705506826,Size 7,Optional,0,1,1,6,2024-01-17T17:53:46
937154,894372,1705506826,Size 8,Optional,0,1,1,7,2024-01-17T17:53:46
937155,894372,1705506826,Size 9,Optional,0,1,1,8,2024-01-17T17:53:46
937156,894372,1705506826,Sandwich Grovbolle Choice,Optional,0,1,1,9,2024-01-17T17:53:46
937157,894372,1705506826,Rejer Choice,Optional,0,1,1,10,2024-01-17T17:53:46
945285,528341,1705550286,Frokost i Café Havehuset Choice,Optional,0,1,1,0,2024-01-18T05:58:06
945286,528341,1705550286,Stykker Rugbrød eller Franskbrød Choice,Optional,0,1,1,1,2024-01-18T05:58:06
945287,528341,1705550286,Sandwich Choice,Optional,0,1,1,2,2024-01-18T05:58:06
945288,528341,1705550286,Drikkevare Choice,Optional,0,1,1,3,2024-01-18T05:58:06
945289,528341,1705550286,Kaffe/kakao Choice,Optional,0,1,1,4,2024-01-18T05:58:06
945290,528341,1705550286,Cafésæt Choice,Optional,0,1,1,5,2024-01-18T05:58:06
945291,528341,1705550286,Vælg Mellem,Optional,0,1,1,6,2024-01-18T05:58:06
945292,528341,1705550286,Size 1,Optional,0,1,1,7,2024-01-18T05:58:06
945293,528341,1705550286,Pellegrino Sodavand Choice,Optional,0,1,1,8,2024-01-18T05:58:06
945294,528341,1705550286,Juice Choice,Optional,0,1,1,9,2024-01-18T05:58:06
945295,528341,1705550286,Limonade Choice,Optional,0,1,1,10,2024-01-18T05:58:06
945296,528341,1705550286,Size 2,Optional,0,1,1,11,2024-01-18T05:58:06
945515,617902,1705561428,Size 1,Optional,0,1,1,0,2024-01-18T09:03:48
945516,617902,1705561428,Size 2,Optional,0,1,1,1,2024-01-18T09:03:48
945517,617902,1705561428,Size 3,Optional,0,1,1,2,2024-01-18T09:03:48
945518,617902,1705561428,Size 4,Optional,0,1,1,3,2024-01-18T09:03:48
945519,617902,1705561428,Size 5,Optional,0,1,1,4,2024-01-18T09:03:48
945520,617902,1705561428,Size 6,Optional,0,1,1,5,2024-01-18T09:03:48
945521,617902,1705561428,Size 7,Optional,0,1,1,6,2024-01-18T09:03:48
945522,617902,1705561428,Size 8,Optional,0,1,1,7,2024-01-18T09:03:48
945523,617902,1705561428,Size 9,Optional,0,1,1,8,2024-01-18T09:03:48
945524,617902,1705561428,Size 10,Optional,0,1,1,9,2024-01-18T09:03:48
945525,617902,1705561428,Size 11,Optional,0,1,1,10,2024-01-18T09:03:48
945526,617902,1705561428,Size 12,Optional,0,1,1,11,2024-01-18T09:03:48
945527,617902,1705561428,Size 13,Optional,0,1,1,12,2024-01-18T09:03:48
945528,617902,1705561428,Size 14,Optional,0,1,1,13,2024-01-18T09:03:48
945529,617902,1705561428,Size 15,Optional,0,1,1,14,2024-01-18T09:03:48
945530,617902,1705561428,Size 16,Optional,0,1,1,15,2024-01-18T09:03:48
945531,617902,1705561428,Deep Pan,Optional,1,0,3,16,2024-01-18T09:03:48
945532,617902,1705561428,Ekstra Tilbehør Alm,Optional,0,0,31,17,2024-01-18T09:03:48
945533,617902,1705561428,Ekstra Tilbehør Fam,Optional,0,0,31,18,2024-01-18T09:03:48
945534,617902,1705561428,Ekstra Fyld På Choice,Optional,0,0,3,19,2024-01-18T09:03:48
976392,617902,1705670443,Ekstra fyld,Optional,0,0,3,19,2024-01-19T15:20:43
1041295,511948,1705858055,Salg af ølkort,Optional,1,1,1,0,2024-01-21T19:27:35
1041362,511948,1705858164,Udlevering på Ølkort,Optional,1,1,1,1,2024-01-21T19:29:24
1084255,809984,1706082696,Hot Drinks,Optional,1,1,1,0,2024-01-24T09:51:36
1088403,1088395,1706095576,Size,Optional,0,1,1,0,2024-01-24T13:26:16
1088404,1088395,1706095576,Drink,Optional,0,1,1,1,2024-01-24T13:26:16
1088405,1088395,1706095576,Flavor,Optional,0,1,1,2,2024-01-24T13:26:16
1107388,449004,1706177379,Size 7,Optional,0,0,5,8,2024-01-25T12:09:39
1111231,449004,1706183327,Size 8,Optional,0,0,5,9,2024-01-25T13:48:47
1111712,449004,1706184116,Size 9,Optional,0,0,9,10,2024-01-25T14:01:56
1115853,1115691,1706192230,Size,Optional,0,1,1,0,2024-01-25T16:17:10
1115854,1115691,1706192230,Drink,Optional,0,1,1,1,2024-01-25T16:17:10
1115855,1115691,1706192230,Flavor,Optional,0,1,1,2,2024-01-25T16:17:10
1127612,1127605,1706210294,Size,Optional,0,1,1,0,2024-01-25T21:18:14
1127613,1127605,1706210294,Drink,Optional,0,1,1,1,2024-01-25T21:18:14
1127614,1127605,1706210294,Flavor,Optional,0,1,1,2,2024-01-25T21:18:14
1130820,564687,1706242646,Sirups,Optional,0,0,3,1,2024-01-26T06:17:26
1140239,564687,1706275750,Size 2,Optional,0,1,1,2,2024-01-26T15:29:10
1141308,565343,1706277546,Size 1,Optional,0,1,1,0,2024-01-26T15:59:06
1141309,565343,1706277546,Size 2,Optional,0,1,1,1,2024-01-26T15:59:06
1141311,565343,1706277546,Size 3,Optional,0,1,1,2,2024-01-26T15:59:06
1218620,1218389,1706521473,Size,Optional,0,1,1,0,2024-01-29T11:44:33
1218621,1218389,1706521473,Drink,Optional,0,1,1,1,2024-01-29T11:44:33
1218622,1218389,1706521473,Flavor,Optional,0,1,1,2,2024-01-29T11:44:33
1236676,583447,1706585233,Ris elle Nudler,Optional,0,0,2,0,2024-01-30T05:27:13
1236677,583447,1706585233,Wokret Choice,Optional,0,1,1,1,2024-01-30T05:27:13
1236678,583447,1706585233,Behør Tilbud Choice,Optional,0,0,2,2,2024-01-30T05:27:13
1236679,583447,1706585233,Pommes Frites eller Ris Choice,Optional,0,1,1,3,2024-01-30T05:27:13
1236680,583447,1706585233,Indbagt Kylling Choice,Optional,0,1,1,4,2024-01-30T05:27:13
1236681,583447,1706585233,2 Retters Menu Choice,Optional,0,1,1,5,2024-01-30T05:27:13
1236682,583447,1706585233,4 Retter Menu Choice,Optional,0,1,1,6,2024-01-30T05:27:13
1236834,583447,1706585517,Børnmenu Choice,Optional,0,1,1,7,2024-01-30T05:31:57
